"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Prueba2-Ldonovani.gff","Prueba2-Linfantum.gff","Prueba2-LmajorFriedlin.gff","Prueba2-Tbruceigambiense.gff","Prueba2-TcruziCLBrenerEsmeraldo-like.gff","Prueba2-TcruziCLBrenerNon-Esmeraldo-like.gff","Prueba2-Tevansis.gff"
"group_970","","","4","4","1","1","6329","1","4637","","539","539","539","","LINF_320014400","LmjF.35.0600","","TcCLB.511001.120","","TevSTIB805.10.4070"
"group_991","","","4","4","1","1","6541","1","4035","","797","1685","1463","","","","Tbg972.10.4060","TcCLB.509351.10","TcCLB.510943.50","TevSTIB805.10.3460"
"group_1","","","3","3","1","1","631","1","263","","2075","2378","2176","LdBPK_100370.1","LINF_100008900","LmjF.10.0360","","","",""
"group_1031","","","3","3","1","1","6299","1","4683","","818","1469","1252","","","","","TcCLB.511181.50","TcCLB.508301.20","TevSTIB805.5.1190"
"group_1049","","","3","3","1","1","4745","1","5297","","560","569","563","LdBPK_010040.1","LINF_010005300","LmjF.01.0040","","","",""
"group_1050","","","3","3","1","1","4746","1","5298","","1997","1997","1997","LdBPK_010050.1","LINF_010005400","LmjF.01.0050","","","",""
"group_1051","","","3","3","1","1","4748","1","5358","","1739","1796","1759","LdBPK_010070.1","LINF_010005600","LmjF.01.0070","","","",""
"group_1052","","","3","3","1","1","4749","1","5359","","713","713","713","LdBPK_010080.1","LINF_010005700","LmjF.01.0080","","","",""
"group_1053","","","3","3","1","1","4445","1","5267","","587","587","587","LdBPK_010110.1","LINF_010006000","LmjF.01.0110","","","",""
"group_1054","","","3","3","1","1","4444","1","5266","","1973","1973","1973","LdBPK_010120.1","LINF_010006100","LmjF.01.0120","","","",""
"group_1055","","","3","3","1","1","4443","1","5265","","1094","1196","1128","LdBPK_010130.1","LINF_010006200","LmjF.01.0130","","","",""
"group_1056","","","3","3","1","1","4441","1","5263","","350","350","350","LdBPK_010150.1","LINF_010006400","LmjF.01.0150","","","",""
"group_1057","","","3","3","1","1","4440","1","5262","","242","242","242","LdBPK_010160.1","LINF_010006500","LmjF.01.0160","","","",""
"group_1058","","","3","3","1","1","4439","1","5261","","1373","1376","1374","LdBPK_010170.1","LINF_010006600","LmjF.01.0170","","","",""
"group_1059","","","3","3","1","1","4437","1","5259","","590","623","612","LdBPK_010190.1","LINF_010006800","LmjF.01.0190","","","",""
"group_1060","","","3","3","1","1","4435","1","5257","","2693","2696","2695","LdBPK_010210.1","LINF_010007000","LmjF.01.0210","","","",""
"group_1061","","","3","3","1","1","4434","1","5256","","1004","1007","1005","LdBPK_010220.1","LINF_010007100","LmjF.01.0220","","","",""
"group_1066","","","3","3","1","1","4424","1","5246","","569","569","569","LdBPK_010380.1","LINF_010008700","LmjF.01.0360","","","",""
"group_1067","","","3","3","1","1","4421","1","5242","","566","566","566","LdBPK_010390.1","LINF_010008800","LmjF.01.0370","","","",""
"group_1068","","","3","3","1","1","4420","1","5241","","2450","2456","2452","LdBPK_010400.1","LINF_010008900","LmjF.01.0380","","","",""
"group_1069","","","3","3","1","1","4417","1","5238","","602","602","602","LdBPK_010440.1","LINF_010009300","LmjF.01.0410","","","",""
"group_1071","","","3","3","1","1","4416","1","5237","","2231","2243","2236","LdBPK_010450.1","LINF_010009400","LmjF.01.0430","","","",""
"group_1072","","","3","3","1","1","4414","1","5235","","1763","1769","1766","LdBPK_010460.1","LINF_010009500","LmjF.01.0440","","","",""
"group_1073","","","3","3","1","1","4413","1","5234","","656","656","656","LdBPK_010470.1","LINF_010009600","LmjF.01.0450","","","",""
"group_1074","","","3","3","1","1","4411","1","5232","","2090","2090","2090","LdBPK_010490.1","LINF_010009800","LmjF.01.0470","","","",""
"group_1075","","","3","3","1","1","4410","1","5231","","1079","1079","1079","LdBPK_010500.1","LINF_010009900","LmjF.01.0480","","","",""
"group_1076","","","3","3","1","1","4409","1","5230","","2096","2096","2096","LdBPK_010510.1","LINF_010010000","LmjF.01.0490","","","",""
"group_1077","","","3","3","1","1","4406","1","5227","","2147","2147","2147","LdBPK_010540.1","LINF_010010300","LmjF.01.0520","","","",""
"group_1078","","","3","3","1","1","4404","1","5225","","4823","4856","4845","LdBPK_010550.1","LINF_010010400","LmjF.01.0530","","","",""
"group_10786","","","3","3","1","8","60","8","174","","1355","1355","1355","LdBPK_130330.1","LINF_130008700","LmjF.13.0350","","","",""
"group_1079","","","3","3","1","1","4402","1","5223","","869","1106","1027","LdBPK_010570.1","LINF_010010600","LmjF.01.0550","","","",""
"group_1080","","","3","3","1","1","4401","1","5222","","1862","1874","1868","LdBPK_010580.1","LINF_010010700","LmjF.01.0560","","","",""
"group_1081","","","3","3","1","1","4397","1","5219","","5453","5465","5458","LdBPK_010620.1","LINF_010011100","LmjF.01.0600","","","",""
"group_1082","","","3","3","1","1","4396","1","5218","","731","1172","878","LdBPK_010630.1","LINF_010011200","LmjF.01.0610","","","",""
"group_1083","","","3","3","1","1","4395","1","5217","","1772","1883","1814","LdBPK_010640.1","LINF_010011300","LmjF.01.0620","","","",""
"group_1085","","","3","3","1","1","4389","1","5210","","2402","2411","2406","LdBPK_010700.1","LINF_010011900","LmjF.01.0680","","","",""
"group_1086","","","3","3","1","1","4386","1","5207","","1619","1625","1621","LdBPK_010730.1","LINF_010012200","LmjF.01.0710","","","",""
"group_10867","","","3","3","1","4","3","4","34","","302","302","302","LdBPK_210020.1","LINF_250031800","LmjF.25.2450","","","",""
"group_1087","","","3","3","1","1","4383","1","5204","","2255","2267","2262","LdBPK_010760.1","LINF_010012500","LmjF.01.0740","","","",""
"group_10870","","","3","3","1","1","5993","1","4900","","302","302","302","LdBPK_360020.1","LINF_360005100","LmjF.36.0020","","","",""
"group_10874","","","3","3","1","11","148","11","140","","449","449","449","LdBPK_090980.1","LINF_090015400","LmjF.09.0920","","","",""
"group_1088","","","3","3","1","1","4379","1","5198","","1586","1592","1590","LdBPK_010810.1","LINF_010013000","LmjF.01.0790","","","",""
"group_1089","","","3","3","1","15","5","15","13","","656","656","656","LdBPK_020020.1","LINF_020005400","LmjF.02.0050","","","",""
"group_1090","","","3","3","1","15","6","15","14","","575","578","577","LdBPK_020030.1","LINF_020005500","LmjF.02.0060","","","",""
"group_1091","","","3","3","1","15","7","15","15","","1193","1193","1193","LdBPK_020040.1","LINF_020005600","LmjF.02.0070","","","",""
"group_10912","","","3","3","1","1","4081","1","3147","","1799","1799","1799","LdBPK_161510.1","LINF_160020300","LmjF.16.1427","","","",""
"group_1092","","","3","3","1","15","8","15","16","","2981","3308","3090","LdBPK_020050.1","LINF_020005700","LmjF.02.0080","","","",""
"group_1093","","","3","3","1","15","9","15","17","","923","944","937","LdBPK_020060.1","LINF_020005800","LmjF.02.0085","","","",""
"group_1094","","","3","3","1","15","10","15","18","","1058","1064","1062","LdBPK_020070.1","LINF_020005900","LmjF.02.0090","","","",""
"group_1096","","","3","3","1","15","159","15","20","","3500","3500","3500","LdBPK_020090.1","LINF_020006100","LmjF.02.0110","","","",""
"group_1097","","","3","3","1","15","146","15","32","","2708","3035","2817","LdBPK_020210.1","LINF_020007400","LmjF.02.0240","","","",""
"group_1098","","","3","3","1","15","145","15","34","","194","488","292","LdBPK_020240.1","LINF_020007700","LmjF.02.0270","","","",""
"group_1099","","","3","3","1","15","143","15","35","","509","509","509","LdBPK_020250.1","LINF_020007800","LmjF.02.0280","","","",""
"group_1100","","","3","3","1","15","142","15","36","","1592","1592","1592","LdBPK_020260.1","LINF_020007900","LmjF.02.0290","","","",""
"group_1101","","","3","3","1","15","140","15","38","","2072","2084","2076","LdBPK_020280.1","LINF_020008100","LmjF.02.0310","","","",""
"group_1102","","","3","3","1","15","139","15","39","","974","1028","992","LdBPK_020290.1","LINF_020008200","LmjF.02.0320","","","",""
"group_1103","","","3","3","1","15","138","15","40","","4616","4814","4683","LdBPK_020300.1","LINF_020008300","LmjF.02.0330","","","",""
"group_1104","","","3","3","1","15","137","15","41","","2918","2927","2922","LdBPK_020310.1","LINF_020008400","LmjF.02.0340","","","",""
"group_1105","","","3","3","1","15","136","15","42","","3155","3185","3175","LdBPK_020320.1","LINF_020008500","LmjF.02.0350","","","",""
"group_1106","","","3","3","1","15","135","15","43","","1583","1589","1587","LdBPK_020340.1","LINF_020008700","LmjF.02.0370","","","",""
"group_1107","","","3","3","1","15","134","15","44","","1373","1379","1375","LdBPK_020350.1","LINF_020008800","LmjF.02.0380","","","",""
"group_1108","","","3","3","1","15","133","15","76","","3002","3059","3040","LdBPK_020390.1","LINF_020009200","LmjF.02.0420","","","",""
"group_1109","","","3","3","1","15","132","15","75","","1112","1112","1112","LdBPK_020400.1","LINF_020009300","LmjF.02.0430","","","",""
"group_1110","","","3","3","1","15","131","15","74","","833","833","833","LdBPK_020420.1","LINF_020009700","LmjF.02.0450","","","",""
"group_1111","","","3","3","1","15","130","15","73","","875","875","875","LdBPK_020430.1","LINF_020009800","LmjF.02.0460","","","",""
"group_1112","","","3","3","1","15","127","15","70","","2129","3380","2546","LdBPK_020460.1","LINF_020010100","LmjF.02.0490","","","",""
"group_1114","","","3","3","1","15","124","15","66","","2588","2591","2590","LdBPK_020500.1","LINF_020010600","LmjF.02.0530","","","",""
"group_1116","","","3","3","1","15","122","15","64","","491","491","491","LdBPK_020520.1","LINF_020010800","LmjF.02.0550","","","",""
"group_1117","","","3","3","1","15","121","15","63","","2543","2549","2545","LdBPK_020530.1","LINF_020010900","LmjF.02.0560","","","",""
"group_1118","","","3","3","1","15","119","15","61","","11336","11366","11356","LdBPK_020550.1","LINF_020011100","LmjF.02.0580","","","",""
"group_1119","","","3","3","1","15","117","15","59","","632","632","632","LdBPK_020570.1","LINF_020011300","LmjF.02.0600","","","",""
"group_1120","","","3","3","1","15","116","15","58","","965","965","965","LdBPK_020580.1","LINF_020011400","LmjF.02.0610","","","",""
"group_1121","","","3","3","1","15","115","15","57","","1694","1703","1700","LdBPK_020590.1","LINF_020011500","LmjF.02.0620","","","",""
"group_1122","","","3","3","1","15","114","15","55","","2810","2813","2812","LdBPK_020670.1","LINF_020012300","LmjF.02.0700","","","",""
"group_1124","","","3","3","1","15","109","15","54","","2453","2453","2453","LdBPK_020680.1","LINF_020012400","LmjF.02.0710","","","",""
"group_1127","","","3","3","1","1","6435","1","3934","","1703","1703","1703","LdBPK_030080.1","LINF_030005700","LmjF.03.0090","","","",""
"group_1128","","","3","3","1","1","6437","1","3936","","2663","2675","2671","LdBPK_030100.1","LINF_030005900","LmjF.03.0110","","","",""
"group_1129","","","3","3","1","1","6445","1","3943","","1682","1682","1682","LdBPK_030190.1","LINF_030006800","LmjF.03.0200","","","",""
"group_113","","","3","3","1","1","1491","1","6026","","393","1973","1446","LdBPK_060080.1","LINF_060005800","LmjF.06.0080","","","",""
"group_1130","","","3","3","1","1","6448","1","3946","","2114","2114","2114","LdBPK_030220.1","LINF_030007100","LmjF.03.0230","","","",""
"group_1131","","","3","3","1","1","6449","1","3947","","464","464","464","LdBPK_030230.1","LINF_030007200","LmjF.03.0240","","","",""
"group_1132","","","3","3","1","1","6450","1","3948","","251","251","251","LdBPK_030240.1","LINF_030007300","LmjF.03.0250","","","",""
"group_1135","","","3","3","1","1","6453","1","3949","","908","1043","953","LdBPK_030250.1","LINF_030007400","LmjF.03.0260","","","",""
"group_1136","","","3","3","1","1","6455","1","3953","","6218","6263","6238","LdBPK_030290.1","LINF_030007900","LmjF.03.0310","","","",""
"group_1137","","","3","3","1","1","6456","1","3954","","3098","3131","3120","LdBPK_030300.1","LINF_030008000","LmjF.03.0320","","","",""
"group_1138","","","3","3","1","1","6457","1","3955","","1892","2183","1989","LdBPK_030310.1","LINF_030008100","LmjF.03.0330","","","",""
"group_1139","","","3","3","1","1","6458","1","3956","","1028","1028","1028","LdBPK_030320.1","LINF_030008200","LmjF.03.0340","","","",""
"group_1140","","","3","3","1","1","6460","1","3958","","4955","4982","4964","LdBPK_030340.1","LINF_030008400","LmjF.03.0360","","","",""
"group_1141","","","3","3","1","1","6461","1","3959","","932","932","932","LdBPK_030350.1","LINF_030008500","LmjF.03.0370","","","",""
"group_1142","","","3","3","1","1","6466","1","3963","","2042","2051","2045","LdBPK_030390.1","LINF_030008800","LmjF.03.0410","","","",""
"group_1143","","","3","3","1","1","6469","1","3966","","5075","5111","5087","LdBPK_030430.1","LINF_030009200","LmjF.03.0450","","","",""
"group_1144","","","3","3","1","1","6471","1","3969","","2873","3017","2921","LdBPK_030450.1","LINF_030009500","LmjF.03.0470","","","",""
"group_1145","","","3","3","1","1","6472","1","3970","","3029","3029","3029","LdBPK_030460.1","LINF_030009600","LmjF.03.0480","","","",""
"group_1146","","","3","3","1","1","6473","1","3971","","3074","3182","3110","LdBPK_030470.1","LINF_030009700","LmjF.03.0490","","","",""
"group_1147","","","3","3","1","1","6474","1","3972","","1718","1718","1718","LdBPK_030480.1","LINF_030009800","LmjF.03.0500","","","",""
"group_1149","","","3","3","1","1","6370","1","3867","","998","998","998","LdBPK_030550.1","LINF_030010500","LmjF.03.0570","","","",""
"group_1150","","","3","3","1","1","6369","1","3866","","536","536","536","LdBPK_030560.1","LINF_030010600","LmjF.03.0580","","","",""
"group_1151","","","3","3","1","1","6368","1","3865","","4037","4358","4144","LdBPK_030570.1","LINF_030010700","LmjF.03.0590","","","",""
"group_1152","","","3","3","1","1","6367","1","3864","","1217","1217","1217","LdBPK_030580.1","LINF_030010800","LmjF.03.0600","","","",""
"group_1153","","","3","3","1","1","6366","1","3863","","1049","1049","1049","LdBPK_030590.1","LINF_030010900","LmjF.03.0610","","","",""
"group_1154","","","3","3","1","1","6365","1","3862","","2027","2027","2027","LdBPK_030600.1","LINF_030011000","LmjF.03.0620","","","",""
"group_1155","","","3","3","1","1","6362","1","3859","","2669","2681","2673","LdBPK_030630.1","LINF_030011400","LmjF.03.0650","","","",""
"group_1156","","","3","3","1","1","6361","1","3858","","2282","2396","2358","LdBPK_030640.1","LINF_030011500","LmjF.03.0660","","","",""
"group_1157","","","3","3","1","1","6360","1","3857","","1700","1709","1703","LdBPK_030650.1","LINF_030011600","LmjF.03.0670","","","",""
"group_1158","","","3","3","1","1","6359","1","3856","","860","860","860","LdBPK_030660.1","LINF_030011700","LmjF.03.0680","","","",""
"group_1161","","","3","3","1","1","6358","1","3855","","72","72","72","LdBPK_03tRNA1","LINF_030011800","LmjF.03.TRNALYS.01","","","",""
"group_1165","","","3","3","1","1","6353","1","3850","","1205","1214","1211","LdBPK_030710.1","LINF_030012300","LmjF.03.0730","","","",""
"group_1166","","","3","3","1","1","6352","1","3849","","254","254","254","LdBPK_030720.1","LINF_030012400","LmjF.03.0740","","","",""
"group_1167","","","3","3","1","1","6351","1","3848","","2150","2267","2189","LdBPK_030730.1","LINF_030012500","LmjF.03.0750","","","",""
"group_1168","","","3","3","1","1","6350","1","3847","","950","953","952","LdBPK_030740.1","LINF_030012600","LmjF.03.0760","","","",""
"group_1169","","","3","3","1","1","6349","1","3846","","1640","1646","1644","LdBPK_030750.1","LINF_030012700","LmjF.03.0770","","","",""
"group_1170","","","3","3","1","1","6347","1","3844","","1307","1307","1307","LdBPK_030780.1","LINF_030012900","LmjF.03.0790","","","",""
"group_1171","","","3","3","1","1","6346","1","3843","","7181","7268","7210","LdBPK_030790.1","LINF_030013000","LmjF.03.0800","","","",""
"group_1173","","","3","3","1","1","6342","1","3840","","1187","1211","1195","LdBPK_013370.1","LINF_030013400","LmjF.03.0830","","","",""
"group_1174","","","3","3","1","1","6341","1","3839","","2909","2924","2914","LdBPK_013360.1","LINF_030013500","LmjF.03.0840","","","",""
"group_1175","","","3","3","1","1","6337","1","3835","","6005","6017","6009","LdBPK_030860.1","LINF_030013900","LmjF.03.0880","","","",""
"group_1176","","","3","3","1","1","6336","1","3834","","2216","2219","2218","LdBPK_030870.1","LINF_030014000","LmjF.03.0890","","","",""
"group_1177","","","3","3","1","1","6335","1","3833","","1124","1142","1136","LdBPK_030880.1","LINF_030014100","LmjF.03.0900","","","",""
"group_1178","","","3","3","1","1","6334","1","3832","","680","791","717","LdBPK_030890.1","LINF_030014200","LmjF.03.0910","","","",""
"group_1179","","","3","3","1","1","6333","1","3831","","656","656","656","LdBPK_030900.1","LINF_030014300","LmjF.03.0920","","","",""
"group_1180","","","3","3","1","1","6332","1","3830","","2093","2093","2093","LdBPK_030910.1","LINF_030014400","LmjF.03.0930","","","",""
"group_1181","","","3","3","1","1","4567","1","3588","","503","503","503","LdBPK_040050.1","LINF_040005500","LmjF.04.0045","","","",""
"group_1182","","","3","3","1","1","4568","1","3589","","1550","1589","1576","LdBPK_040060.1","LINF_040005600","LmjF.04.0050","","","",""
"group_1183","","","3","3","1","1","4569","1","3590","","788","788","788","LdBPK_040070.1","LINF_040005700","LmjF.04.0060","","","",""
"group_1184","","","3","3","1","1","4570","1","3591","","737","737","737","LdBPK_040080.1","LINF_040005800","LmjF.04.0070","","","",""
"group_1185","","","3","3","1","1","4571","1","3592","","476","476","476","LdBPK_040090.1","LINF_040005900","LmjF.04.0080","","","",""
"group_1186","","","3","3","1","1","4572","1","3593","","5594","5618","5610","LdBPK_040100.1","LINF_040006000","LmjF.04.0090","","","",""
"group_1187","","","3","3","1","1","4573","1","3594","","1733","1739","1735","LdBPK_040110.1","LINF_040006100","LmjF.04.0100","","","",""
"group_1188","","","3","3","1","1","4575","1","3595","","1043","1043","1043","LdBPK_040120.1","LINF_040006200","LmjF.04.0110","","","",""
"group_1189","","","3","3","1","1","4579","1","3598","","1304","1304","1304","LdBPK_040150.1","LINF_040006500","LmjF.04.0127","","","",""
"group_1190","","","3","3","1","1","4586","1","3606","","548","548","548","LdBPK_040190.1","LINF_040007100","LmjF.04.0200","","","",""
"group_1191","","","3","3","1","1","4588","1","3608","","1064","1064","1064","LdBPK_040210.1","LINF_040007300","LmjF.04.0220","","","",""
"group_1192","","","3","3","1","1","4589","1","3609","","776","776","776","LdBPK_040220.1","LINF_040007400","LmjF.04.0230","","","",""
"group_1193","","","3","3","1","1","4590","1","3610","","872","872","872","LdBPK_040230.1","LINF_040007500","LmjF.04.0240","","","",""
"group_1194","","","3","3","1","1","4591","1","3611","","4406","4409","4407","LdBPK_040240.1","LINF_040007600","LmjF.04.0250","","","",""
"group_1195","","","3","3","1","1","4592","1","3612","","806","806","806","LdBPK_040250.1","LINF_040007700","LmjF.04.0260","","","",""
"group_1196","","","3","3","1","1","4593","1","3613","","1442","1442","1442","LdBPK_040260.1","LINF_040007800","LmjF.04.0270","","","",""
"group_1200","","","3","3","1","1","4557","1","3578","","572","572","572","LdBPK_040350.1","LINF_040008700","LmjF.04.0370","","","",""
"group_1201","","","3","3","1","1","4555","1","3576","","728","734","730","LdBPK_040370.1","LINF_040008900","LmjF.04.0390","","","",""
"group_1202","","","3","3","1","1","4554","1","3575","","1022","1022","1022","LdBPK_040380.1","LINF_040009000","LmjF.04.0400","","","",""
"group_1203","","","3","3","1","1","4553","1","3574","","3365","3377","3369","LdBPK_040390.1","LINF_040009100","LmjF.04.0410","","","",""
